,Unnamed: 0,Dataset,Model,ROC_AUC_cv,Accuracy_cv,Precision_cv,Recall_cv,F1score_cv
0,0,AtomPairs2DCount,LogReg,0.5177843824826658,0.5190734456260706,0.5224368488774611,0.9435828040289096,0.6705946335727795
1,1,AtomPairs2D,LogReg,0.5063907491152313,0.5189722195780365,0.5208533578857505,1.0,0.6833202250926895
2,2,EState,LogReg,0.5092045620435991,0.5189722195780365,0.519063285897284,1.0,0.6833202250926895
3,3,CDKextended,LogReg,0.5254886226873375,0.5239126893117186,0.5288986688631105,0.9367951817295568,0.6693222104890256
4,4,CDK,LogReg,0.5234774270028171,0.5247832657954705,0.5283941175658738,0.9573943504644128,0.6741912273965065
5,5,CDKgraphonly,LogReg,0.5219882091209999,0.5221308274860258,0.5264831545034643,1.0,0.6833202250926895
6,6,MACCS,LogReg,0.5192273679268364,0.5210982310258279,0.5260101614826787,1.0,0.6833202250926895
7,7,PubChem,LogReg,0.5233502144938632,0.5266865641942373,0.5296775524960649,1.0,0.6833202250926895
8,8,SubstructureCount,LogReg,0.5110415595122343,0.5174333821822412,0.5205046389519367,0.9642617401606296,0.6746708619067889
9,9,Substructure,LogReg,0.5112133092476344,0.5189722195780365,0.5195692835626049,1.0,0.6833202250926895
10,10,AtomPairs2DCount,RandomForest,0.5343750201105327,0.5233660556148731,0.5379280812462323,0.8372662445821922,0.6443624857913982
11,11,AtomPairs2D,RandomForest,0.5179000242357054,0.5192151714409321,0.5293911220339212,0.7138999349402736,0.6063474038643033
12,12,EState,RandomForest,0.5082622176310951,0.5107920661458605,0.5206050882909926,0.7251371778195436,0.6060580105683947
13,13,CDKextended,RandomForest,0.5359130641592093,0.5294201742302231,0.5374796863757331,0.6689164753381696,0.5960314943884996
14,14,CDK,RandomForest,0.5342433118094861,0.526747355662751,0.5346677273185857,0.6793337311153987,0.5983763711797859
15,15,CDKgraphonly,RandomForest,0.5268834373616904,0.525613475346907,0.5333291493473739,0.6872925326135261,0.6005981373192089
16,16,MACCS,RandomForest,0.5245592378245963,0.5249048548822436,0.5323429476754137,0.6975930074969207,0.6036841771037585
17,17,PubChem,RandomForest,0.5299442674132393,0.5269093756391969,0.5348903177284807,0.7009482524551206,0.605541385492856
18,18,SubstructureCount,RandomForest,0.5320615833911454,0.5242367034356777,0.5380435790185415,0.8418312440641401,0.6465136508101611
19,19,Substructure,RandomForest,0.5107448884752317,0.5128169130430771,0.5244170750014564,0.6737550458918041,0.5886351963307018
20,20,AtomPairs2DCount,XGBoost,0.5276445045095572,0.5219081587151718,0.5347342767366189,0.7478822753967117,0.6180143873261833
21,21,AtomPairs2D,XGBoost,0.5170802539760802,0.5153681043953516,0.5299542956802835,0.6737536484667489,0.590591013138059
22,22,EState,XGBoost,0.5094361567716598,0.5127156218077361,0.5202596237807019,0.7824894840567866,0.6248531196370984
23,23,CDKextended,XGBoost,0.5301387242089376,0.5230420365711174,0.5380976033650465,0.6388356086335952,0.580532390791716
24,24,CDK,XGBoost,0.5269403294632538,0.5222321101117223,0.535294622276412,0.6588116719297529,0.5886911866618771
25,25,CDKgraphonly,XGBoost,0.5232228799940746,0.5219284036787889,0.5329276108190261,0.6693455076638809,0.5919121291146279
26,26,MACCS,XGBoost,0.5255048257727065,0.5246619079391447,0.5329751072812129,0.6856936043453818,0.598822753888158
27,27,PubChem,XGBoost,0.525384955024821,0.5233255361688587,0.5350077252731826,0.6903351607999658,0.5989027101590711
28,28,SubstructureCount,XGBoost,0.5299459665824996,0.5214221479838013,0.5362103184718355,0.7478044625682254,0.6172892162819114
29,29,Substructure,XGBoost,0.5108562880844881,0.5142342991064082,0.524091339022697,0.7119124220382956,0.6032481385235268
