,Dataset,Model,ROC_AUC_cv,Accuracy_cv,Precision_cv,Recall_cv,F1score_cv
0,AtomPairs2DCount,LogReg,0.5232586331924329,0.522110597281799,0.5289346908927351,0.8501021097574538,0.6485562582280499
1,AtomPairs2D,LogReg,0.5110618854139596,0.5189722195780365,0.522634696419288,1.0,0.6833202250926895
2,EState,LogReg,0.5092045620435991,0.5189722195780365,0.519063285897284,1.0,0.6833202250926895
3,CDKextended,LogReg,0.5314079032560591,0.5264031826716178,0.5383078952712134,0.9029294029630232,0.6614492718373719
4,CDK,LogReg,0.527829758236323,0.5220904359547267,0.5339258947267767,0.9238409646989606,0.6661317069350425
5,CDKgraphonly,LogReg,0.5230727076752729,0.5234266625910086,0.5310491779664086,0.9873586143783456,0.6809809734527211
6,MACCS,LogReg,0.5251894327125145,0.522778802846129,0.5294019040570191,0.9908306995981114,0.6812703794039362
7,PubChem,LogReg,0.523812000257544,0.524722619460961,0.5303228581382821,0.9873190526356862,0.68040127838872
8,SubstructureCount,LogReg,0.5176524673308044,0.5250870349558127,0.5265877515022088,0.9486947584175404,0.6725289446672015
9,Substructure,LogReg,0.5112134274606223,0.5189722195780365,0.5195692835626049,1.0,0.6833202250926895
10,AtomPairs2DCount,RandomForest,0.5455169306006767,0.5335910770571308,0.5436367190123713,0.8851770448036759,0.6588166721737818
11,AtomPairs2D,RandomForest,0.5220885627346368,0.5209564953713728,0.5327911597745403,0.7668831689084653,0.6240440989732968
12,EState,RandomForest,0.5082306147646326,0.5107718187223449,0.5205900338875229,0.7251374929251932,0.6060611913984233
13,CDKextended,RandomForest,0.5537381317461437,0.5375394181187637,0.5478701329796297,0.7103118040731891,0.6145214101880533
14,CDK,RandomForest,0.5535271654416699,0.5387340296356108,0.5460800038180836,0.7116772253546464,0.6155912875839294
15,CDKgraphonly,RandomForest,0.5492669122670526,0.5352919344293721,0.5427391938104605,0.7152277581809464,0.6145003466835058
16,MACCS,RandomForest,0.5480997505910641,0.5354741784602989,0.5425387638037887,0.727751718997221,0.6191928498128645
17,PubChem,RandomForest,0.5439276565047019,0.5325989594546242,0.5466269209264423,0.725839854284918,0.6171306749013333
18,SubstructureCount,RandomForest,0.5379243287218199,0.5292176840057302,0.5405874136355973,0.8398030916668456,0.6490377218926601
19,Substructure,RandomForest,0.5108111504208587,0.5127763899072151,0.5244647536508787,0.6682938174408292,0.5869286563006554
20,AtomPairs2DCount,XGBoost,0.5405849946933042,0.5322344160450571,0.5454448506801861,0.7463222877934245,0.6202540419286472
21,AtomPairs2D,XGBoost,0.5288562723082479,0.522819306302804,0.5374989072923219,0.6744953295314603,0.5928569245331233
22,EState,XGBoost,0.5094361567716598,0.5127156218077361,0.521400645182803,0.7824894840567866,0.6248531196370984
23,CDKextended,XGBoost,0.549788978548707,0.5358790937219781,0.5475805544239436,0.6367288716273101,0.587346361245927
24,CDK,XGBoost,0.5485354547475386,0.5329027150855253,0.5465694897746635,0.631266857695585,0.5836592709043263
25,CDKgraphonly,XGBoost,0.5451890393136374,0.5324168064399372,0.5461352404421106,0.6455852721190284,0.5887557673311008
26,MACCS,XGBoost,0.5419512637775872,0.5312424263572659,0.5456659695816132,0.6499551253020812,0.5880553246084442
27,PubChem,XGBoost,0.5435363493753781,0.5304931819009071,0.5458930299653622,0.6501896552404426,0.5892961063709768
28,SubstructureCount,XGBoost,0.5322919436369383,0.5261197285819964,0.538874295228969,0.7641917647859993,0.6259167057664677
29,Substructure,XGBoost,0.5120652348640823,0.5142342991064082,0.524091339022697,0.7119124220382956,0.6032481385235268
